observation_id,species_name,species_type,latitude,longitude,date_observed,count,quality_grade,debrecen_station
IN001,Turdus merula,Bird,47.5232,21.6337,2026-05-21,2,research,DEB-KER11
IN002,Parus major,Bird,47.5232,21.6337,2026-05-22,1,research,DEB-KER11
IN003,Erithacus rubecula,Bird,47.5232,21.6337,2026-05-23,3,research,DEB-KER11
IN004,Columba livia,Bird,47.5232,21.6337,2026-05-24,5,casual,DEB-KER11
IN005,Sylvia communis,Bird,47.5232,21.6337,2026-05-25,2,research,DEB-KER11
IN006,Motacilla alba,Bird,47.5232,21.6337,2026-05-26,4,research,DEB-KER11
IN007,Carduelis carduelis,Bird,47.5232,21.6337,2026-05-27,1,research,DEB-KER11
IN008,Pica pica,Bird,47.5232,21.6337,2026-05-28,2,research,DEB-KER11
IN009,Sturnus vulgaris,Bird,47.5232,21.6337,2026-05-29,8,casual,DEB-KER11
IN010,Corvus cornix,Bird,47.5232,21.6337,2026-05-30,3,research,DEB-KER11
IN011,Tawny Owl,Bird,47.5232,21.6337,2026-05-31,1,research,DEB-KER11
IN012,Ranunculus acris,Plant,47.5232,21.6337,2026-06-01,1,research,DEB-KER11
IN013,Plantago major,Plant,47.5232,21.6337,2026-06-02,15,casual,DEB-KER11
IN014,Urtica dioica,Plant,47.5232,21.6337,2026-06-03,20,research,DEB-KER11
IN015,Trifolium repens,Plant,47.5232,21.6337,2026-06-04,30,casual,DEB-KER11
IN016,Sambucus nigra,Plant,47.5232,21.6337,2026-06-05,2,research,DEB-KER11
IN017,Vanessa atalanta,Insect,47.5232,21.6337,2026-06-06,2,casual,DEB-KER11
IN018,Pieris rapae,Insect,47.5232,21.6337,2026-06-07,5,research,DEB-KER11
IN019,Apis mellifera,Insect,47.5232,21.6337,2026-06-08,8,casual,DEB-KER11
IN020,Harmonia axyridis,Insect,47.5232,21.6337,2026-06-09,3,research,DEB-KER11
IN021,Turdus merula,Bird,47.5578,21.5022,2026-05-21,1,research,DEB-KER01
IN022,Carduelis carduelis,Bird,47.5578,21.5022,2026-05-22,2,research,DEB-KER01
IN023,Motacilla alba,Bird,47.5578,21.5022,2026-05-23,1,casual,DEB-KER01
IN024,Sylvia communis,Bird,47.5578,21.5022,2026-05-24,2,research,DEB-KER01
IN025,Corvus cornix,Bird,47.5578,21.5022,2026-05-25,2,research,DEB-KER01
