observation_id,species_hungarian,species_latin,species_english,latitude,longitude,date_observed,abundance,rarity_status,debrecen_station
OBM001,fekete rigó,Turdus merula,Eurasian Blackbird,47.5232,21.6337,2026-05-15,2,common,DEB-KER11
OBM002,széncinege,Parus major,Great Tit,47.5232,21.6337,2026-05-16,3,common,DEB-KER11
OBM003,vörösbegy,Erithacus rubecula,European Robin,47.5232,21.6337,2026-05-17,1,common,DEB-KER11
OBM004,szürke galamb,Columba livia,Rock Dove,47.5232,21.6337,2026-05-18,5,common,DEB-KER11
OBM005,szúrós nádiposzáta,Sylvia communis,Common Whitethroat,47.5232,21.6337,2026-05-19,2,uncommon,DEB-KER11
OBM006,fehér költ,Motacilla alba,White Wagtail,47.5232,21.6337,2026-05-20,4,common,DEB-KER11
OBM007,szép pintyfark,Carduelis carduelis,European Goldfinch,47.5232,21.6337,2026-05-21,1,common,DEB-KER11
OBM008,szarka,Pica pica,Eurasian Magpie,47.5232,21.6337,2026-05-22,2,common,DEB-KER11
OBM009,seregély,Sturnus vulgaris,Common Starling,47.5232,21.6337,2026-05-23,8,common,DEB-KER11
OBM010,szürke varjú,Corvus cornix,Hooded Crow,47.5232,21.6337,2026-05-24,3,common,DEB-KER11
OBM011,fülemüle,Tachybaptus ruficollis,Little Grebe,47.5232,21.6337,2026-05-25,1,rare,DEB-KER11
OBM012,búbosbanka,Upupa epops,Eurasian Hoopoe,47.5232,21.6337,2026-05-26,1,rare,DEB-KER11
OBM013,fekete rigó,Turdus merula,Eurasian Blackbird,47.5578,21.5022,2026-05-15,1,common,DEB-KER01
OBM014,széncinege,Parus major,Great Tit,47.5578,21.5022,2026-05-16,2,common,DEB-KER01
OBM015,szép pintyfark,Carduelis carduelis,European Goldfinch,47.5578,21.5022,2026-05-17,1,common,DEB-KER01
OBM016,fehér költ,Motacilla alba,White Wagtail,47.5578,21.5022,2026-05-18,1,common,DEB-KER01
OBM017,szúrós nádiposzáta,Sylvia communis,Common Whitethroat,47.5578,21.5022,2026-05-19,2,uncommon,DEB-KER01
OBM018,szürke varjú,Corvus cornix,Hooded Crow,47.5578,21.5022,2026-05-20,2,common,DEB-KER01
OBM019,seregély,Sturnus vulgaris,Common Starling,47.5578,21.5022,2026-05-21,4,common,DEB-KER01
OBM020,szarka,Pica pica,Eurasian Magpie,47.5578,21.5022,2026-05-22,1,common,DEB-KER01
OBM021,fekete rigó,Turdus merula,Eurasian Blackbird,47.5436,21.6230,2026-05-15,2,common,DEB-KER15
