padapt_id,habitat_type,conservation_status,species_richness_index,habitat_area_hectares,restoration_potential,latitude,longitude,debrecen_station,last_survey_date
PA001,urban_park,good,6.2,2.3,high,47.5232,21.6337,DEB-KER11,2026-05-15
PA002,green_corridor,moderate,4.8,1.5,medium,47.5232,21.6337,DEB-KER11,2026-05-15
PA003,water_body,moderate,5.1,0.8,high,47.5232,21.6337,DEB-KER11,2026-05-20
PA004,meadow,poor,2.9,3.2,very_high,47.5232,21.6337,DEB-KER11,2026-05-22
PA005,woodland,good,7.4,5.1,medium,47.5578,21.5022,DEB-KER01,2026-05-16
PA006,shrubland,moderate,4.2,2.1,high,47.5578,21.5022,DEB-KER01,2026-05-18
PA007,industrial_wasteland,poor,1.5,1.8,very_high,47.5578,21.5022,DEB-KER01,2026-05-21
PA008,urban_park,excellent,7.8,3.5,medium,47.5436,21.6230,DEB-KER15,2026-05-17
PA009,green_corridor,good,6.1,2.2,high,47.5436,21.6230,DEB-KER15,2026-05-19
PA010,water_body,good,5.8,1.2,high,47.5436,21.6230,DEB-KER15,2026-05-23
PA011,meadow,moderate,3.8,2.9,very_high,47.5436,21.6230,DEB-KER15,2026-05-25
PA012,urban_park,moderate,5.2,1.8,high,47.5050,21.6358,DEB-KER07,2026-05-16
PA013,green_corridor,moderate,4.5,1.3,medium,47.5050,21.6358,DEB-KER07,2026-05-18
PA014,water_body,moderate,4.9,0.6,high,47.5050,21.6358,DEB-KER07,2026-05-21
PA015,meadow,poor,2.6,2.1,very_high,47.5050,21.6358,DEB-KER07,2026-05-23
PA016,urban_park,good,6.5,2.8,high,47.4474,21.6306,DEB-KER14,2026-05-15
PA017,green_corridor,good,5.9,2.4,high,47.4474,21.6306,DEB-KER14,2026-05-17
PA018,water_body,good,6.2,1.5,high,47.4474,21.6306,DEB-KER14,2026-05-20
PA019,meadow,good,4.5,4.2,medium,47.4474,21.6306,DEB-KER14,2026-05-22
PA020,woodland,excellent,8.1,6.3,low,47.4474,21.6306,DEB-KER14,2026-05-24
PA021,urban_park,moderate,5.0,1.6,high,47.5482,21.6694,DEB-KER05,2026-05-15
PA022,green_corridor,moderate,4.3,1.1,medium,47.5482,21.6694,DEB-KER05,2026-05-17
PA023,water_body,moderate,4.7,0.7,high,47.5482,21.6694,DEB-KER05,2026-05-19
PA024,meadow,poor,2.8,1.9,very_high,47.5482,21.6694,DEB-KER05,2026-05-21
PA025,shrubland,moderate,4.1,1.5,high,47.5482,21.6694,DEB-KER05,2026-05-23
PA026,woodland,excellent,8.5,7.2,low,47.5577,21.8380,DEB-KER12,2026-05-14
PA027,urban_park,good,6.8,3.1,medium,47.5577,21.8380,DEB-KER12,2026-05-16
PA028,green_corridor,excellent,7.2,3.8,medium,47.5577,21.8380,DEB-KER12,2026-05-18
PA029,water_body,good,6.5,2.1,high,47.5577,21.8380,DEB-KER12,2026-05-20
PA030,meadow,excellent,5.8,5.6,low,47.5577,21.8380,DEB-KER12,2026-05-22
PA031,shrubland,good,5.4,2.8,high,47.5577,21.8380,DEB-KER12,2026-05-24
PA032,urban_park,moderate,5.3,2.0,high,47.5977,21.5802,DEB-KER18,2026-05-15
PA033,green_corridor,good,5.6,1.8,high,47.5977,21.5802,DEB-KER18,2026-05-17
PA034,water_body,moderate,5.0,0.9,high,47.5977,21.5802,DEB-KER18,2026-05-19
PA035,meadow,moderate,3.5,2.5,very_high,47.5977,21.5802,DEB-KER18,2026-05-21
PA036,urban_park,good,6.4,2.6,high,47.4644,21.5886,DEB-KER03,2026-05-15
PA037,green_corridor,excellent,7.0,3.2,medium,47.4644,21.5886,DEB-KER03,2026-05-17
PA038,water_body,good,6.1,1.8,high,47.4644,21.5886,DEB-KER03,2026-05-19
PA039,meadow,excellent,5.5,5.1,low,47.4644,21.5886,DEB-KER03,2026-05-21
PA040,woodland,excellent,8.3,6.8,low,47.4644,21.5886,DEB-KER03,2026-05-23
PA041,urban_park,moderate,4.9,1.5,high,47.4616,21.6330,DEB-KER04,2026-05-15
PA042,green_corridor,moderate,4.2,1.0,medium,47.4616,21.6330,DEB-KER04,2026-05-17
PA043,industrial_wasteland,poor,1.6,2.2,very_high,47.4616,21.6330,DEB-KER04,2026-05-19
PA044,meadow,poor,3.0,2.0,very_high,47.4616,21.6330,DEB-KER04,2026-05-21
